|id                                  |name        |description   |price|weight |manufacturer|quantity|images                                    |status|createddatetimeutc     |modifieddatetimeutc    |isremoved|ishidden|categoryid                          |createduserid                       |modifieduserid                      |
|------------------------------------|------------|--------------|-----|-------|------------|--------|------------------------------------------|------|-----------------------|-----------------------|---------|--------|------------------------------------|------------------------------------|------------------------------------|
|3ec0e6b5-a8fb-45c3-95aa-f08e061f96df|1212122112  |12121212      |1    |1      |3333        |17      |{}                                        |2     |2024-11-26 23:28:17.594|                       |false    |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|503b1363-e488-4d5c-94b4-23efbf6aab39|                                    |
|38c87956-7353-4c0f-9078-02d12bb83924|Гитара      |Ну типо гитара|32   |1      |Дерево      |9       |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-11-27 17:17:15.730|                       |false    |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|d86da21d-3114-4e1d-b97a-4e39ad6e8e88|                                    |
|3fa45f64-5717-4562-b3fc-2c263f66afa6|123         |1234          |1 022|1 022  |1245        |1 022   |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|3     |2024-11-21 02:00:14.804|2024-11-21 09:33:14.718|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|3fa85f64-8757-4562-b3fc-2c963f66afa6|9f9ab1b7-a1a6-4809-b403-bf8fbdbdf303|
|3fa85f54-5717-4562-b3fc-2c963f66afa6|string      |string        |1    |1      |4444        |0       |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-07-30 20:33:06.704|2024-11-21 09:51:28.414|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|3fa85f14-5717-4512-b3fc-2c913f66afa6|e978dcf0-5a5a-4915-b629-75a2eb5bc5ce|
|faf745b5-12b3-4bff-8067-e91b1e6ff402|121212      |123           |555  |555    |421         |111     |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-11-21 10:39:35.955|2024-11-26 16:48:31.491|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|b1dbda83-f162-4f9d-8de1-81823cf97c20|a9bd3b5a-3a5f-4652-8e4c-ad14e55c93ef|
|a897e368-6a15-487c-b2e5-d5d39573e0b5|string12    |12            |13   |121 524|12          |1 124   |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|3     |2024-11-26 23:27:31.950|2024-11-26 23:27:59.649|false    |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|9d210dc5-fd26-4731-a62d-7959bb5ba2ff|298c9d05-9392-4f39-bbc8-2cb9ab29b8a6|
|3fa85f44-5717-4562-b3fc-2c963f66afa6|string      |string        |1    |1      |421         |0       |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-07-30 20:30:19.554|2024-11-21 09:53:36.337|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|00000000-0000-0000-0000-000000000000|3f317594-4e58-498e-b072-0fef4747050e|
|1fa85f64-5717-4562-b3fc-2c963f56afa1|string      |string        |1    |1      |215         |1       |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-07-30 20:25:21.604|2024-11-21 09:55:41.408|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|4fa85f64-5717-4552-b3fc-3c963f66afa6|6dcc025e-8f0b-48f4-9b37-f747a2179428|
|3fa85f64-5717-4462-b3fc-2c963f66afa6|string      |string        |10   |10     |string      |10      |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-11-20 23:57:42.899|                       |true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|3fa85f64-5717-4362-b3fc-2c963f66afa3|                                    |
|6fa85f64-5717-4562-b3fc-2c963f66afa6|string      |string        |1    |1      |string      |1       |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-07-30 20:24:19.520|                       |true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|00000000-0000-0000-0000-000000000000|                                    |
|ecbf01eb-bff6-469c-9f17-3561870da422|Тентассилл64|sfsafa        |14   |17     |214         |16      |{97ab7991-37c8-483d-9b26-9f2a7347b319.png}|1     |2024-11-25 15:35:03.398|                       |false    |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|f8d3ff25-6544-4a47-b4d3-705573ac0022|                                    |
|2fa85f64-5717-4562-b3fc-2c963f66afa6|string      |string        |10   |10     |3333        |10      |{}                                        |3     |2024-07-30 20:38:15.718|2024-11-21 09:58:42.528|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|3fa85f14-5717-4512-b3fc-2c913f66afa6|58eeebc2-5019-429d-9a50-ad67e4089ef6|
|3fa85f64-5217-4562-b3fc-2c964f66afa6|string4444  |string        |10   |20     |5252        |30      |{}                                        |1     |2024-11-21 00:02:50.276|2024-11-21 09:58:58.942|true     |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|3fa85f64-5717-4564-b3fc-2c963f66afa6|6e7ac8dc-46d6-4149-b6e8-84720ec3ad76|
|245f0f3b-983f-418b-98f9-a6187c3e2675|Стратегия   |fafasfasf     |15   |1 488  |rr6546      |3       |{}                                        |1     |2024-11-24 21:22:50.735|2024-11-24 21:23:29.736|false    |false   |3fa85f34-5717-4532-b1fc-2c963f66afa6|2e5a31af-6f50-4b7c-82f8-66fb88f83033|fe92dfb5-0474-42c8-96d9-9c6ac1f774b8|
